DATE,CUSR0000SETG01
2019-01-01,258.697
2019-02-01,261.414
2019-03-01,262.902
2019-04-01,264.923
2019-05-01,265.197
2019-06-01,265.646
2019-07-01,265.641
2019-08-01,268.628
2019-09-01,271.396
2019-10-01,268.485
2019-11-01,266.975
2019-12-01,264.504
2020-01-01,265.997
2020-02-01,267.098
2020-03-01,234.944
2020-04-01,200.502
2020-05-01,189.533
2020-06-01,193.950
2020-07-01,202.801
2020-08-01,205.483
2020-09-01,203.594
2020-10-01,213.726
2020-11-01,221.647
2020-12-01,216.200
2021-01-01,209.321
2021-02-01,198.658
2021-03-01,199.538
2021-04-01,219.838
