DATE,CUSR0000SETA02
2019-01-01,140.747
2019-02-01,139.359
2019-03-01,138.090
2019-04-01,138.568
2019-05-01,138.101
2019-06-01,139.552
2019-07-01,140.719
2019-08-01,141.948
2019-09-01,140.907
2019-10-01,140.543
2019-11-01,139.489
2019-12-01,139.126
2020-01-01,137.958
2020-02-01,137.588
2020-03-01,138.242
2020-04-01,137.532
2020-05-01,137.592
2020-06-01,135.795
2020-07-01,139.541
2020-08-01,147.556
2020-09-01,155.337
2020-10-01,156.658
2020-11-01,154.495
2020-12-01,153.107
2021-01-01,151.743
2021-02-01,150.370
2021-03-01,151.197
2021-04-01,166.374
