DATE,CUSR0000SAH3
2019-01-01,123.198
2019-02-01,123.347
2019-03-01,123.403
2019-04-01,123.174
2019-05-01,123.128
2019-06-01,123.852
2019-07-01,124.119
2019-08-01,124.121
2019-09-01,124.464
2019-10-01,124.351
2019-11-01,124.309
2019-12-01,124.065
2020-01-01,124.032
2020-02-01,124.247
2020-03-01,124.172
2020-04-01,124.815
2020-05-01,125.180
2020-06-01,125.586
2020-07-01,125.975
2020-08-01,127.254
2020-09-01,127.218
2020-10-01,126.932
2020-11-01,127.707
2020-12-01,127.991
2021-01-01,127.593
2021-02-01,127.536
2021-03-01,128.044
2021-04-01,129.169
