DATE,CUSR0000SETB01
2019-01-01,212.769
2019-02-01,217.668
2019-03-01,231.640
2019-04-01,247.099
2019-05-01,241.202
2019-06-01,230.050
2019-07-01,231.807
2019-08-01,226.643
2019-09-01,226.658
2019-10-01,235.681
2019-11-01,240.666
2019-12-01,240.923
2020-01-01,240.070
2020-02-01,229.906
2020-03-01,207.911
2020-04-01,167.940
2020-05-01,159.690
2020-06-01,176.235
2020-07-01,184.682
2020-08-01,188.637
2020-09-01,191.794
2020-10-01,193.213
2020-11-01,194.136
2020-12-01,204.217
2021-01-01,219.338
2021-02-01,233.399
2021-03-01,254.642
2021-04-01,251.181
