Report Date,Choice 600-900,Select 600-900
06/02/2021,340.16,311.88
06/01/2021,334.56,306.45
05/28/2021,330.97,300.90
05/27/2021,329.98,304.10
05/26/2021,329.49,304.05
05/25/2021,329.92,304.26
05/24/2021,327.83,303.39
05/21/2021,325.17,302.31
05/20/2021,324.18,301.61
05/19/2021,323.38,299.69
05/18/2021,323.34,299.05
05/17/2021,319.62,296.89
05/14/2021,316.94,293.19
05/13/2021,316.78,295.91
05/12/2021,315.08,297.16
05/11/2021,312.37,296.34
05/10/2021,309.11,293.76
05/07/2021,305.88,290.27
05/06/2021,306.37,289.36
05/05/2021,304.78,286.18
05/04/2021,301.22,283.91
05/03/2021,299.30,283.79
