DATE,NPPTTL
2020-02-01,128253.047
2020-03-01,128181.000
2020-04-01,109047.685
2020-05-01,112552.167
2020-06-01,117199.747
2020-07-01,117705.777
2020-08-01,118534.894
2020-09-01,119067.766
2020-10-01,119804.457
2020-11-01,120433.895
2020-12-01,120683.306
2021-01-01,121220.090
2021-02-01,121678.171
2021-03-01,122572.000
2021-04-01,123190.574
2021-05-01,124001.262
2021-06-01,124695.564
2021-07-01,125010.776
2021-08-01,125287.381
2021-09-01,125767.254
2021-10-01,126297.734
2021-11-01,126784.050
2021-12-01,127564.454
2022-01-01,128076.127
2022-02-01,128676.700
2022-03-01,128925.851
2022-04-01,129127.873
2022-05-01,129256.098
